name,temperament,origin,country_code,description,life_span,indoor,alt_names,adaptability,affection_level,child_friendly,dog_friendly,energy_level,grooming,health_issues,intelligence,shedding_level,social_needs,stranger_friendly,vocalisation,experimental,hairless,natural,rare,rex,suppressed_tail,short_legs,wikipedia_url,hypoallergenic,image,weight_lb,weight_kg
Abyssinian,"Active, Energetic, Independent, Intelligent, Gentle",Egypt,EGY,"The Abyssinian is easy to care for, and a joy to have in your home. They’re affectionate cats and love both people and other animals.",14-15,0.0,,5.0,5.0,3.0,4.0,5.0,1.0,2.0,5.0,2.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Abyssinian_(cat),0.0,https://cdn2.thecatapi.com/images/0XYvRd7oD.jpg,7-10,3-5
Aegean,"Affectionate, Social, Intelligent, Playful, Active",Greece,GRC,"Native to the Greek islands known as the Cyclades in the Aegean Sea, these are natural cats, meaning they developed without humans getting involved in their breeding. As a breed, Aegean Cats are rare, although they are numerous on their home islands. They are generally friendly toward people and can be excellent cats for families with children.",9-12,0.0,,5.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Aegean_cat,0.0,https://cdn2.thecatapi.com/images/ozEvzdVM-.jpg,7-10,3-5
American Bobtail,"Intelligent, Interactive, Lively, Playful, Sensitive",United States,USA,American Bobtails are loving and incredibly intelligent cats possessing a distinctive wild appearance. They are extremely interactive cats that bond with their human family with great devotion.,11-15,0.0,,5.0,5.0,4.0,5.0,3.0,1.0,1.0,5.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,https://en.wikipedia.org/wiki/American_Bobtail,0.0,https://cdn2.thecatapi.com/images/hBXicehMA.jpg,7-16,3-7
American Curl,"Affectionate, Curious, Intelligent, Interactive, Lively, Playful, Social",United States,USA,"Distinguished by truly unique ears that curl back in a graceful arc, offering an alert, perky, happily surprised expression, they cause people to break out into a big smile when viewing their first Curl. Curls are very people-oriented, faithful, affectionate soulmates, adjusting remarkably fast to other pets, children, and new situations.",12-16,0.0,,5.0,5.0,4.0,5.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/American_Curl,0.0,https://cdn2.thecatapi.com/images/xnsqonbjW.jpg,5-10,2-5
American Shorthair,"Active, Curious, Easy Going, Playful, Calm",United States,USA,"The American Shorthair is known for its longevity, robust health, good looks, sweet personality, and amiability with children, dogs, and other pets.",15-17,0.0,Domestic Shorthair,5.0,5.0,4.0,5.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/American_Shorthair,0.0,https://cdn2.thecatapi.com/images/JFPROfGtQ.jpg,8-15,4-7
American Wirehair,"Affectionate, Curious, Gentle, Intelligent, Interactive, Lively, Loyal, Playful, Sensible, Social",United States,USA,"The American Wirehair tends to be a calm and tolerant cat who takes life as it comes. His favorite hobby is bird-watching from a sunny windowsill, and his hunting ability will stand you in good stead if insects enter the house.",14-18,0.0,,5.0,5.0,4.0,5.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/American_Wirehair,0.0,https://cdn2.thecatapi.com/images/8D--jCd21.jpg,8-15,4-7
Arabian Mau,"Affectionate, Agile, Curious, Independent, Playful, Loyal",United Arab Emirates,ARE,"Arabian Mau cats are social and energetic. Due to their energy levels, these cats do best in homes where their owners will be able to provide them with plenty of playtime, attention and interaction from their owners. These kitties are friendly, intelligent, and adaptable, and will even get along well with other pets and children.",12-14,0.0,Alley cat,5.0,5.0,4.0,5.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Arabian_Mau,0.0,https://cdn2.thecatapi.com/images/k71ULYfRr.jpg,8-16,4-7
Australian Mist,"Lively, Social, Fun-loving, Relaxed, Affectionate",Australia,AUS,"The Australian Mist thrives on human companionship. Tolerant of even the youngest of children, these friendly felines enjoy playing games and being part of the hustle and bustle of a busy household. They make entertaining companions for people of all ages, and are happy to remain indoors between dusk and dawn or to be wholly indoor pets.",12-16,0.0,Spotted Mist,5.0,5.0,4.0,5.0,4.0,3.0,1.0,4.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Australian_Mist,0.0,https://cdn2.thecatapi.com/images/_6x-3TiCA.jpg,7-15,3-7
Balinese,"Affectionate, Intelligent, Playful",United States,USA,"Balinese are curious, outgoing, intelligent cats with excellent communication skills. They are known for their chatty personalities and are always eager to tell you their views on life, love, and what you’ve served them for dinner. ",10-15,0.0,Long-haired Siamese,5.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Balinese_(cat),1.0,https://cdn2.thecatapi.com/images/13MkvUreZ.jpg,4-10,2-5
Bambino,"Affectionate, Lively, Friendly, Intelligent",United States,USA,"The Bambino is a breed of cat that was created as a cross between the Sphynx and the Munchkin breeds. The Bambino cat has short legs, large upright ears, and is usually hairless. They love to be handled and cuddled up on the laps of their family members.",12-14,0.0,,5.0,5.0,4.0,5.0,5.0,1.0,1.0,5.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,https://en.wikipedia.org/wiki/Bambino_cat,0.0,https://cdn2.thecatapi.com/images/5AdhMjeEu.jpg,4-9,2-4
Bengal,"Alert, Agile, Energetic, Demanding, Intelligent",United States,USA,"Bengals are a lot of fun to live with, but they're definitely not the cat for everyone, or for first-time cat owners. Extremely intelligent, curious and active, they demand a lot of interaction and woe betide the owner who doesn't provide it.",12-15,0.0,,5.0,5.0,4.0,5.0,5.0,1.0,3.0,5.0,3.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Bengal_(cat),1.0,https://cdn2.thecatapi.com/images/O3btzLlsO.png,6-12,3-7
Birman,"Affectionate, Active, Gentle, Social",France,FRA,"The Birman is a docile, quiet cat who loves people and will follow them from room to room. Expect the Birman to want to be involved in what you’re doing. He communicates in a soft voice, mainly to remind you that perhaps it’s time for dinner or maybe for a nice cuddle on the sofa. He enjoys being held and will relax in your arms like a furry baby.",14-15,0.0,"Sacred Birman, Sacred Cat Of Burma",5.0,5.0,4.0,5.0,3.0,2.0,1.0,3.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Birman,0.0,https://cdn2.thecatapi.com/images/HOrX5gwLS.jpg,6-15,3-7
Bombay,"Affectionate, Dependent, Gentle, Intelligent, Playful",United States,USA,"The the golden eyes and the shiny black coa of the Bopmbay is absolutely striking. Likely to bond most with one family member, the Bombay will follow you from room to room and will almost always have something to say about what you are doing, loving attention and to be carried around, often on his caregiver's shoulder.",12-16,0.0,Small black Panther,5.0,5.0,4.0,5.0,3.0,1.0,3.0,5.0,3.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Bombay_(cat),0.0,https://cdn2.thecatapi.com/images/5iYq9NmT1.jpg,6-11,3-5
British Longhair,"Affectionate, Easy Going, Independent, Intelligent, Loyal, Social",United Kingdom,GBR,"The British Longhair is a very laid-back relaxed cat, often perceived to be very independent although they will enjoy the company of an equally relaxed and likeminded cat. They are an affectionate breed, but very much on their own terms and tend to prefer to choose to come and sit with their owners rather than being picked up.",12-14,0.0,,5.0,5.0,4.0,5.0,4.0,5.0,1.0,5.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/British_Longhair,0.0,https://cdn2.thecatapi.com/images/7isAO4Cav.jpg,8-18,4-8
British Shorthair,"Affectionate, Easy Going, Gentle, Loyal, Patient, calm",United Kingdom,GBR,"The British Shorthair is a very pleasant cat to have as a companion, ans is easy going and placid. The British is a fiercely loyal, loving cat and will attach herself to every one of her family members. While loving to play, she doesn't need hourly attention. If she is in the mood to play, she will find someone and bring a toy to that person. The British also plays well by herself, and thus is a good companion for single people.",12-17,0.0,"Highlander, Highland Straight, Britannica",5.0,4.0,4.0,5.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/British_Shorthair,0.0,https://cdn2.thecatapi.com/images/s4wQfYoEk.jpg,12-20,5-9
Burmese,"Curious, Intelligent, Gentle, Social, Interactive, Playful, Lively",Burma,MMR,"Burmese love being with people, playing with them, and keeping them entertained. They crave close physical contact and abhor an empty lap. They will follow their humans from room to room, and sleep in bed with them, preferably under the covers, cuddled as close as possible. At play, they will turn around to see if their human is watching and being entertained by their crazy antics.",15-16,0.0,,5.0,5.0,4.0,5.0,4.0,1.0,3.0,5.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://en.wikipedia.org/wiki/Burmese_(cat),1.0,https://cdn2.thecatapi.com/images/4lXnnfxac.jpg,6-12,3-5
